DMF command 271 at 63789504205398.8036 ms : setel 0 165
DMF command 272 at 63789504205461.5623 ms : clrel 0 175
DMF command 273 at 63789504205602.2048 ms : setel 0 155
DMF command 274 at 63789504205727.1508 ms : clrel 0 165
DMF command 275 at 63789504205851.857 ms : setel 0 145
DMF command 276 at 63789504205977.014 ms : clrel 0 155
DMF command 277 at 63789504206103.6169 ms : setel 0 135
DMF command 278 at 63789504206228.476 ms : clrel 0 145
DMF command 279 at 63789504206353.4693 ms : setel 0 250
DMF command 280 at 63789504206416.2054 ms : clrel 0 135
DMF command 281 at 63789504206540.9018 ms : setel 0 240
DMF command 282 at 63789504206681.4944 ms : clrel 0 250
DMF command 283 at 63789504206806.8224 ms : setel 0 230
DMF command 284 at 63789504206869.2773 ms : clrel 0 240
DMF command 285 at 63789504207056.762 ms : setel 0 220
DMF command 286 at 63789504207181.6445 ms : clrel 0 230
DMF command 287 at 63789504207243.9362 ms : setel 0 210
DMF command 288 at 63789504207369.1942 ms : clrel 0 220
DMF command 289 at 63789504207493.8318 ms : setel 0 200
DMF command 290 at 63789504207619.0913 ms : clrel 0 210
DMF command 291 at 63789504207759.365 ms : setel 0 210
DMF command 292 at 63789504207822.1904 ms : clrel 0 200
DMF command 293 at 63789504207947.1444 ms : setel 0 220
DMF command 294 at 63789504208072.1487 ms : clrel 0 210
DMF command 295 at 63789504208212.6001 ms : setel 0 230
DMF command 296 at 63789504208338.9995 ms : clrel 0 220
DMF command 297 at 63789504208401.4005 ms : setel 0 240
DMF command 298 at 63789504208526.4751 ms : clrel 0 230
DMF command 299 at 63789504208667.0516 ms : setel 0 250
DMF command 300 at 63789504208745.2209 ms : clrel 0 240
DMF command 301 at 63789504208869.8743 ms : setel 0 135
DMF command 302 at 63789504208995.1401 ms : clrel 0 250
DMF command 303 at 63789504209120.1401 ms : setel 0 145
DMF command 304 at 63789504209244.7861 ms : clrel 0 135
DMF command 305 at 63789504209370.0767 ms : setel 0 155
DMF command 306 at 63789504209432.425 ms : clrel 0 145
DMF command 307 at 63789504209572.928 ms : setel 0 165
DMF command 308 at 63789504209713.3982 ms : clrel 0 155
